Date,Tweet_id,Username,Tweet,no_of_replies,no_of_retweets,no_oflikes
2021-12-31 13:54:12+00:00,1.47691E+18,richphilatelist,"What are you looking forward to in 2022?

I’m looking forward to the stamps of the Winter Olympics, the Commonwealth Games, FIFA World Cup, and it will be the Queen’s Platinum Jubilee. 

I hope the world will become better in the new year.

Happy New Year, stamp lovers! https://t.co/rZaCKRqTSj",1,2,20
2021-12-31 13:16:00+00:00,1.4769E+18,ActonPhilip,@maplintweet Hopefully Wales qualifying for the FIFA World Cup,0,0,0
2021-12-31 13:15:23+00:00,1.4769E+18,ActonPhilip,@OfficeOutletUK1 Hopefully Wales qualifying for the FIFA World Cup,0,0,0
2021-12-31 13:14:58+00:00,1.4769E+18,Abdulla71238158,@WeAreMessi Ready for Fifa World Cup 2022 🏆,0,0,0
2021-12-31 13:05:01+00:00,1.4769E+18,sportstriviabot,"Which country will host the 2022 FIFA World Cup?

Answer: Qatar",0,0,0
2021-12-31 13:04:28+00:00,1.4769E+18,ExtremeFootbal4,"#FootballTeasers 770.
Clue (b)
This footballer’s international career lasted for 16 years. He was an uncapped squad member for one World Cup. And he played in all of his country's matches at two other FIFA World Cups
??????????
#ExFE #FiFAWorldCup #InternationalCareer https://t.co/rjEbQYcGiU",1,0,3
2021-12-31 13:00:02+00:00,1.4769E+18,sportstriviabot,"Which country will host the 2022 FIFA World Cup?

A: Japan
B: USA
C: Switzerland
D: Qatar",0,0,0
2021-12-31 12:54:18+00:00,1.4769E+18,La_Esterisco,@iamrahmanosman Hope you also use the same energy to talk about Fifa world cup being played in December forcing leagues to break for a month?,0,0,1
2021-12-31 12:22:16+00:00,1.47689E+18,alimo_philip,"🎙On this episode,we looked at the most shocking moments in FIFA World Cup history;

🎧Enjoy this exciting podcast your listening 👂pleasure as we usher in the #NewYear2022!

#HappyNewYear2022|#HappyNewYear 

https://t.co/DQSxn1aY1x",1,0,4
2021-12-31 12:11:46+00:00,1.47689E+18,WTicketsHosp,World Cup: FIFA World Cup takes shape despite concerns about chosen host Qatar https://t.co/xVZYImayuN,0,0,0
2021-12-31 12:10:41+00:00,1.47689E+18,Gethai5,ITS FIFA WORLD CUP YEAR ITS THAT TIME OF THE YEAR AGAIN BABYYYYYY #FifaWorldCup2022,0,0,0
2021-12-31 12:03:32+00:00,1.47689E+18,Syph3R_TV,@OnFireSemmler People who wonder why there are no top female pros probably also wonder why gibraltar never made it far in the fifa world cup.,0,0,6
2021-12-31 11:57:37+00:00,1.47689E+18,MessitvY,"Argentina in 2021,
🏆 Won Copa America after 28 years
🔥 Extended their unbeaten streak to 27 games
✅ Qualified for Fifa World Cup 2022
✅ Defeated Brazil in their own homegroud",0,0,0
2021-12-31 11:54:57+00:00,1.47688E+18,asimwaheed1968,"Hopefully in 2022, will look forward to the FIFA World Cup and the F1 2022 season.",0,0,0
2021-12-31 11:46:37+00:00,1.47688E+18,MessitvY,"A really amazing year for Argentina. They have built a very strong team, lets see how they do in 2022 in the Fifa World Cup. https://t.co/XYkfFdzgTo",1,0,0
2021-12-31 11:44:26+00:00,1.47688E+18,lunnyJ65,@SkySportsNews For proper respect to be shown to AFCON the Premier League should be halted for the duration of the competition… no major league is run during UEFA championship or FIFA World Cup,1,0,1
2021-12-31 11:12:21+00:00,1.47687E+18,theLawalIbrahim,@KofiTiger FIFA world cup standards bro,1,0,0
2021-12-31 11:00:19+00:00,1.47687E+18,hax8,"Yeah!! FIFA WORLD CUP will be happening in November 2022, Qatar..",0,0,1
2021-12-31 10:58:54+00:00,1.47687E+18,ShahanParambil,"@ArnavculerFCB @albiFCB7 Ronaldo started playing football as a pure midfielder and appeared in fifa world 11 as midfielder 4 times.
Messi fc trying their level best to make people think he was only a goal poacher.
People who started watching football at 2019 will never know who Cristiano Ronaldo was.",3,1,11
2021-12-31 10:52:11+00:00,1.47687E+18,SoggyMarley7,"10 Games to Get to Know Me:
Kingdom Hearts 2
Final Fantasy X
2010 FIFA World Cup South Africa
NFS Underground 
Pokemon HeartGold
Mass Effect 2
Super Smash Bros Melee
Pokemon Colliseum
Dragon Age Origins
Destiny 2",0,0,0
2021-12-31 10:47:05+00:00,1.47687E+18,EdmondReekaybee,Mfundo Vilakazi rectified Frank Lampard disallowed goal during 2010 FIFA WORLD CUP. We are going to wait another 11 years to see replica of that goal🔥🔥🔥🔥🔥 #PhillysGames,0,2,10
2021-12-31 10:16:23+00:00,1.47686E+18,AltOutcome,France   loses their bid for a FIFA World Cup in 2026,0,0,0
2021-12-31 10:03:27+00:00,1.47686E+18,lionafriqradio,Now playing on LionafriQ Radio: One World  (2018 FIFA World Cup - Russia) by RedOne feat. Adelina &amp; Now United! Tune in: https://t.co/odKVdT6heA,0,0,0
2021-12-31 10:02:05+00:00,1.47686E+18,fifa2k14brazil,FIFA World Cup every 2 years? Here's what UEFA president Aleksander Ceferin has to say ... https://t.co/7JcXkZUVCi,0,0,0
2021-12-31 10:00:06+00:00,1.47686E+18,MyTEFL,"Happy New Year 2022! Just to make y'all feel old, it was 20 years ago now that the euro became the official currency of the Eurozone, that Brazil last won the FIFA World Cup, and Avril Lavigne released Complicated. Well done if you remember any of that! #NYE #HappyNewYear #TEFL https://t.co/IfbKZ0PVVf",0,0,0
2021-12-31 09:45:45+00:00,1.47685E+18,TheCitizen_News,"Bafana Bafana only just missed out on qualification for the 2022 Fifa World Cup play-offs, while Sundowns won a fourth league title in a row.
https://t.co/xuowehV4Ff",2,0,4
2021-12-31 09:45:03+00:00,1.47685E+18,RealOlaudah,"For #AFCON2021 to make sense, it should be moved from a biannual competition, to a quadrennial one. Even the FIFA World Cup is once in 4 years.",3,3,10
2021-12-31 09:38:03+00:00,1.47685E+18,jonathanmiseroy,"“Plans are in development to ensure Generation Amazing’s legacy continues beyond 2022, to make a lasting impact across the globe.” @alkhori speaking about the impact of @GA4good and the positive legacy of the 2022 FIFA World Cup in Qatar",0,0,1
2021-12-31 09:28:42+00:00,1.47685E+18,maniishaak,Also. FIFA World Cup,0,0,0
2021-12-31 09:18:06+00:00,1.47685E+18,playzradio,Waka Waka (This Time For Africa) (The Official 2010 FIFA World Cup (TM) Song) Freshlyground - Shakira Freshlyground - Shakira - Waka Waka (This Time For Africa) (The Official 2010 FIFA World Cup (TM) Song) # LATINO / ELECTRO https://t.co/m8tvDIw1wq,0,0,0
2021-12-31 09:15:00+00:00,1.47684E+18,PsychMove,"@muusharraf @ClassicMessi10i Fifa world cup player of the Tournament award, drop yours.",1,0,0
2021-12-31 09:10:49+00:00,1.47684E+18,adriandelmonte,"2021 was a busy one:

✅ EURO 2020 Final
✅ 14 matches at Euros
✅ Nations League Final
✅ Champions League Final
✅ Host 2x FIFA World Cup draws

Bigger 2022 ahead. 🙏 https://t.co/m11BkmXkCr",1,2,27
2021-12-31 09:06:04+00:00,1.47684E+18,angad7,@CanadaVijay @walter_witty @SkySportsNews One visit to Goa during FIFA world cup will change your opinion,1,0,0
2021-12-31 09:04:05+00:00,1.47684E+18,muusekiimiko,FIFA WORLD CUP - QATAR 2022. https://t.co/JqM2PVKMat,0,0,0
2021-12-31 08:48:56+00:00,1.47684E+18,chunaZakaas,"Are they going to increase the teams or decrease .....
To Organise 2 years the FIFA World Cup",0,1,1
2021-12-31 08:43:50+00:00,1.47684E+18,joshkingdal,FIFA World Cup 2022 👀,0,0,3
2021-12-31 08:43:01+00:00,1.47684E+18,HakanGurbuz_,@siradisifoto Shakira : Waka Waka  [The Official 2010 FIFA World Cup  Song (feat. Freshlyground),1,0,2
2021-12-31 08:42:20+00:00,1.47684E+18,LeftBehindPoet,@GeoffBarton9 @NorthernHeathe1 @Swen_2017 @MartinWesson3 @JonHlluk @andrewsibley15 @GeoffreyKeey @Begentle50 @fan_vor @marcsaysmarc @AndrewKnight226 @ShegorReador @SallyAnnC3 @David19531501 @wanderer_bolton @BlackWo21997773 @boomer_ish @rymer_joe @bromhome @condimentset @HWick_Chris @IainColledge @viv_cooper @of_flocks @Claesson_Kate @Mac_Paddy54 @Chris_not_a_bot @Peter14306722 @cybremike7 @RandyKite @ConraddKonnrad @Jimbo12449841 @JackDaw68083738 @just2sayin @Maggie29047241 @john30296891 @chantypo_71 @afewpoints @The_Leaver @bunter888 @Schofield7Pete @ruckmalc @ChrisEv06631592 @resiguru @gil0607 @AndieHalihan @scottjla @susan04071 @NativeBanter You are saying Spain and Germany would not play in the FIFA world cup.......,1,0,0
2021-12-31 08:36:41+00:00,1.47683E+18,TorDevia,@Razal29 yes you think Belgium should brag about being ranked no.1 by Fifa in the last few years despite never winning anything? Brazil should be mocked because it's been 20 years since they last won fifa world cup?,0,0,0
2021-12-31 08:21:43+00:00,1.47683E+18,SocietyNews,"@SamKayze1 @SkySportsPL Some nations have not chance or hope of making the FIFA World Cup in multiple lifetimes. So a continental/confederation tournament is their only prospect of playing at a serious tournament. So it should be taken seriously, and treated with respect.",0,0,1
2021-12-31 08:05:00+00:00,1.47683E+18,ZeeNewsEnglish,"FIFA World Cup to be held every 2 years? 

#FIFA 

https://t.co/JHZN6uTtVW",0,1,6
2021-12-31 08:03:39+00:00,1.47683E+18,NtokozoCebs,"@SkySportsPL Apartheid system and racism at its best, thats why we even have five slot in FIFA world cup",0,0,0
2021-12-31 07:53:33+00:00,1.47682E+18,bojanmustur,"Imagine Qatar before the FIFA World Cup Qatar 2022
.
Qatar National Day 2021
Katara Cultural Village
Doha, 18.12.2021
State of Qatar
.
.
https://t.co/VsHozzcqzX
https://t.co/NA3hSVgLR8
https://t.co/bbLODD1DPr
© 2021 Bojan Mustur https://t.co/zqz54ZHIFX",0,0,0
2021-12-31 07:17:00+00:00,1.47681E+18,HassanA40863623,@DavidMillerSA12 Italy won the FIFA world cup 2022,0,0,0
2021-12-31 07:10:57+00:00,1.47681E+18,footballhour_,"Mr Infantino is positive on Qatar as a host for FIFA World Cup 2022. He has praised the way #ArabCup2021 was conducted which brought back the football vibe back! @fatma_samoura @SarahEssam64 

https://t.co/m8lUDSNd2M",0,0,1
2021-12-31 06:58:53+00:00,1.47681E+18,WTicketsHosp,FIFA World Cup: Qatar World Cup hotel shortage for supporters planning Qatar trips https://t.co/QD83BGMihI,0,0,0
2021-12-31 06:52:47+00:00,1.47681E+18,escuchamosfm,Live It Up (Official Song 2018 FIFA World Cup Russia) [feat. Will Smith &amp; Era Istrefi] - Nicky Jam-Live It Up (Official Song 2018 FIFA World Cup Russia) [feat. Will Smith &amp; Era Istrefi] - Single,0,0,0
2021-12-31 06:44:42+00:00,1.47681E+18,MichuEmenalo,South Africa was a different country during the 2010 FIFA World Cup. What a time to be alive!,1,0,6
2021-12-31 06:04:34+00:00,1.4768E+18,footballhour_,"2022: The year of solidarity
As per, Gianni Infantino, FIFA World Cup Qatar 2022 will be a truly unique occasion to re-unite the World again in a celebration of football and social inclusion, especially amid Covid-19. We all need it! #Qatar @SaddickAdams 
https://t.co/6WcK41Uk5x",1,0,5
2021-12-31 05:40:39+00:00,1.47679E+18,MathewsMpete,"Here's how we pay our final respect to the late archbishop, Desmond Tutu, who played an enormous part in helping SA win rights to host the 2020 Fifa World Cup. Full supplement dedicated to the forever happy Tutu in today's @SunSportSA in the @dailysunsa https://t.co/uxhiUd2OyX",0,1,9
2021-12-31 05:11:36+00:00,1.47678E+18,TheSportMarket,It’s not beyond the realm to suggest that Canada’s national soccer teams could win back-to-back team-of-the-year honours. Women as Olympic gold medalists this year. Men as FIFA World Cup qualifiers (and possibly more) the next. #FIFAWorldCup #CanadaSoccer,1,1,4
2021-12-31 04:28:38+00:00,1.47677E+18,Khan279Imran,"Sports Schedule 2022 T20 World Cup Fifa World Cup Commonwealth Games Asian Games And Other Big Events To Follow Check 2022 Sports Calendar – Sports In 2022: From T20 World Cup and IPL to Football World Cup, next year will be thrilled about these… https://t.co/2JSStdlhUn",0,0,0
2021-12-31 04:16:44+00:00,1.47677E+18,TomTPostingDos,@nerdwich_ Forbidden 2006 FIFA World Cup partipants,0,0,3
